epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,1392.81,1.11026,0.30709,0,0.50963,0.95756,0.97753,0.96841,0.99163,0.72567,0.97671,0.97803,0.99255,0.97045,1.04081,0.20753,0,0.43725,0.96155,0.0004292,0.0004292,0.0004292
121,1403.09,1.08623,0.29768,0,0.49883,0.95163,0.97642,0.96565,0.99118,0.7252,0.97668,0.97668,0.99255,0.97232,1.03875,0.20485,0,0.43601,0.95893,0.000416,0.000416,0.000416
122,1413.06,1.10969,0.30279,0,0.5017,0.96282,0.977,0.96805,0.99152,0.72124,0.9813,0.97321,0.9927,0.97092,1.04227,0.2062,0,0.43865,0.96286,0.0004028,0.0004028,0.0004028
123,1423.49,1.10316,0.31168,0,0.50683,0.95082,0.97032,0.97023,0.99101,0.72223,0.97518,0.97509,0.99228,0.97088,1.03922,0.21003,0,0.4402,0.96142,0.0003896,0.0003896,0.0003896
124,1433.29,1.09319,0.29894,0,0.49944,0.95713,0.97318,0.97297,0.99133,0.72333,0.97826,0.97827,0.99258,0.97014,1.03476,0.2068,0,0.4339,0.9636,0.0003764,0.0003764,0.0003764
125,1443.39,1.07477,0.29769,0,0.49785,0.95168,0.97654,0.97065,0.99137,0.7227,0.98112,0.97615,0.99277,0.97035,1.03586,0.20667,0,0.43416,0.96263,0.0003632,0.0003632,0.0003632
126,1453.3,1.0814,0.30298,0,0.49746,0.95386,0.97499,0.97102,0.99064,0.72502,0.98031,0.97619,0.99225,0.97129,1.03245,0.20423,0,0.43349,0.96016,0.00035,0.00035,0.00035
127,1463.32,1.08285,0.29755,0,0.49734,0.95566,0.97398,0.97215,0.99137,0.7241,0.97929,0.97745,0.99255,0.96992,1.03124,0.20623,0,0.43211,0.9628,0.0003368,0.0003368,0.0003368
128,1473.97,1.08413,0.30338,0,0.4993,0.95353,0.97483,0.97032,0.9917,0.72637,0.97978,0.97602,0.99278,0.97136,1.03096,0.204,0,0.4306,0.9613,0.0003236,0.0003236,0.0003236
129,1484.48,1.06638,0.27047,0,0.47741,0.94737,0.97598,0.96908,0.99137,0.72936,0.97959,0.97456,0.99244,0.9717,1.0271,0.20429,0,0.43033,0.9587,0.0003104,0.0003104,0.0003104
130,1494.51,1.07551,0.28894,0,0.49631,0.94772,0.97225,0.97138,0.99155,0.72571,0.97702,0.97615,0.99266,0.97058,1.02852,0.20264,0,0.43347,0.95938,0.0002972,0.0002972,0.0002972
131,1504.45,1.0657,0.29213,0,0.49488,0.94802,0.97537,0.96979,0.99201,0.72773,0.97751,0.97721,0.99303,0.97153,1.02059,0.19958,0,0.43085,0.95742,0.000284,0.000284,0.000284
132,1515.52,1.07935,0.29116,0,0.49084,0.95421,0.9745,0.97085,0.99185,0.73499,0.9763,0.97615,0.99283,0.97394,1.01963,0.19814,0,0.42414,0.95442,0.0002708,0.0002708,0.0002708
133,1526.94,1.08293,0.29829,0,0.49441,0.952,0.97475,0.97032,0.99193,0.73233,0.97827,0.97509,0.99303,0.97232,1.01891,0.19825,0,0.42607,0.95618,0.0002576,0.0002576,0.0002576
134,1538.57,1.07331,0.2905,0,0.48945,0.94873,0.97084,0.97041,0.99175,0.73063,0.97561,0.97511,0.99288,0.97284,1.01281,0.19748,0,0.427,0.95544,0.0002444,0.0002444,0.0002444
135,1550.12,1.07438,0.29442,0,0.4973,0.95005,0.97444,0.96962,0.99165,0.72874,0.97874,0.97577,0.99287,0.97242,1.01402,0.19778,0,0.42686,0.9549,0.0002312,0.0002312,0.0002312
136,1561.68,1.07991,0.28826,0,0.49004,0.94916,0.97758,0.97057,0.99206,0.73132,0.97822,0.9759,0.99282,0.97336,1.01598,0.19729,0,0.42196,0.95489,0.000218,0.000218,0.000218
137,1574.45,1.06276,0.28267,0,0.48436,0.94577,0.9768,0.96873,0.99173,0.73231,0.98089,0.9735,0.993,0.9739,1.01256,0.19569,0,0.42256,0.9538,0.0002048,0.0002048,0.0002048
138,1587.04,1.07005,0.28778,0,0.48415,0.94694,0.97601,0.97013,0.99189,0.73099,0.97572,0.97958,0.99301,0.97256,1.02106,0.19954,0,0.42388,0.95538,0.0001916,0.0001916,0.0001916
139,1598.22,1.07077,0.29528,0,0.48823,0.94481,0.97532,0.97085,0.99207,0.73011,0.97946,0.97562,0.99279,0.97232,1.0177,0.19721,0,0.42418,0.95498,0.0001784,0.0001784,0.0001784
140,1609.3,1.07245,0.28069,0,0.48491,0.94576,0.97756,0.96926,0.99218,0.73367,0.98187,0.97596,0.99301,0.97263,1.01823,0.19761,0,0.42086,0.9558,0.0001652,0.0001652,0.0001652
141,1666.57,1.07315,0.25811,0,0.48068,0.96546,0.97392,0.97138,0.99081,0.72153,0.97744,0.97933,0.99286,0.96865,1.03783,0.21429,0,0.43248,0.96512,0.000152,0.000152,0.000152
142,1676.52,1.0529,0.24523,0,0.47025,0.95479,0.97371,0.97085,0.99141,0.71749,0.97614,0.97561,0.99274,0.96762,1.04062,0.21452,0,0.4352,0.96843,0.0001388,0.0001388,0.0001388
143,1686.11,1.04733,0.24317,0,0.46718,0.95064,0.97551,0.97084,0.99179,0.72266,0.9792,0.97668,0.99304,0.9695,1.03184,0.20765,0,0.42949,0.96194,0.0001256,0.0001256,0.0001256
144,1697.32,1.02953,0.23265,0,0.46412,0.9502,0.97176,0.97297,0.99217,0.73035,0.97487,0.97986,0.99299,0.97206,1.01885,0.20104,0,0.42762,0.9546,0.0001124,0.0001124,0.0001124
145,1707.14,1.02913,0.22919,0,0.46076,0.94775,0.97395,0.97103,0.99179,0.73188,0.97875,0.97613,0.99278,0.97253,1.01816,0.20077,0,0.42784,0.95513,9.92e-05,9.92e-05,9.92e-05
146,1717.79,1.02431,0.2253,0,0.45987,0.94306,0.97502,0.97225,0.99211,0.7347,0.9798,0.97702,0.9931,0.97288,1.01194,0.19842,0,0.42485,0.95269,8.6e-05,8.6e-05,8.6e-05
147,1729.47,1.02746,0.23003,0,0.4555,0.94127,0.975,0.97139,0.99193,0.73449,0.97979,0.97616,0.99307,0.97247,1.0105,0.19799,0,0.42119,0.95232,7.28e-05,7.28e-05,7.28e-05
148,1740.52,1.02603,0.23793,0,0.45539,0.9455,0.97342,0.97297,0.99205,0.73413,0.97819,0.97774,0.99289,0.97292,1.00984,0.19688,0,0.4218,0.95146,5.96e-05,5.96e-05,5.96e-05
149,1750.17,1.01495,0.22118,0,0.45004,0.94004,0.97345,0.97162,0.99176,0.73715,0.9777,0.97586,0.99289,0.97382,1.0067,0.19503,0,0.41977,0.94994,4.64e-05,4.64e-05,4.64e-05
150,1760.84,1.02834,0.22807,0,0.465,0.94162,0.97398,0.97199,0.99167,0.73455,0.97876,0.97658,0.99286,0.97361,1.00586,0.19578,0,0.41993,0.94996,3.32e-05,3.32e-05,3.32e-05
